"5,937","5,937","5,868","5,868","10,770"
"5,860","5,898","5,860","5,868","9,608"
"5,944","6,128","5,944","6,120","13,772"
"6,212","6,342","6,212","6,212","15,718"
"6,205","6,281","6,059","6,212","9,138"
"6,228","6,342","6,220","6,342","29,699"
"6,320","6,320","6,258","6,258","2,284"
"6,289","6,411","6,274","6,274","13,877"
"6,258","6,258","6,189","6,205","9,281"
"6,166","6,166","6,120","6,128","5,522"
"6,143","6,166","5,975","5,990","11,853"
"6,013","6,128","5,982","6,128","2,088"
"6,166","6,166","5,990","5,990","7,976"
"6,044","6,051","6,044","6,051","1,109"
"6,097","6,120","6,059","6,090","3,825"
"6,097","6,097","6,051","6,051","7,310"
"5,898","6,005","5,745","5,898","45,966"
"5,975","6,051","5,814","5,814","30,535"
"5,837","5,959","5,829","5,891","32,976"
"5,822","5,898","5,822","5,883","6,318"
"5,860","5,883","5,822","5,822","10,169"
"5,806","5,806","5,760","5,791","15,939"
"5,783","5,822","5,776","5,822","12,545"
"5,822","5,822","5,783","5,783","2,872"
"5,783","5,822","5,783","5,822","1,449"
"5,822","5,822","5,799","5,822","6,501"
"5,829","5,860","5,829","5,860","1,932"
"5,837","5,975","5,837","5,898","3,577"
"5,914","5,967","5,914","5,959","5,548"
"5,975","5,975","5,937","5,937","5,000"
"5,937","5,952","5,937","5,937","1,736"
"5,952","5,952","5,860","5,860","3,302"
"5,783","5,860","5,783","5,822","1,514"
"5,783","5,822","5,783","5,822","3,054"
"5,822","5,829","5,822","5,829","4,530"
"5,829","5,891","5,829","5,891","1,292"
"5,891","5,891","5,822","5,822","1,814"
"5,845","5,891","5,822","5,829","1,279"
"5,860","5,875","5,860","5,868","13,355"
"5,875","6,051","5,875","5,967","2,219"
"5,975","6,074","5,975","6,013","44,582"
"6,051","6,105","6,051","6,090","43,459"
"6,097","6,396","6,097","6,396","19,216"
"6,358","6,434","6,243","6,243","12,049"
"6,228","6,350","6,228","6,281","17,767"
"6,182","6,281","6,182","6,243","3,289"
"6,243","6,358","6,243","6,281","3,629"
"6,358","6,434","6,358","6,358","23,420"
"6,396","6,396","6,281","6,320","3,968"
"6,281","6,312","6,266","6,266","7,127"
"6,258","6,342","6,258","6,320","16,958"
"6,327","6,358","6,243","6,243","12,362"
"6,166","6,166","6,128","6,159","3,655"
"6,005","6,005","5,990","6,005","4,321"
"6,051","6,051","6,036","6,051","1,370"
"6,090","6,090","6,051","6,059","1,710"
"6,090","6,105","6,082","6,105","2,127"
"6,220","6,281","6,166","6,205","14,699"
"6,189","6,205","6,189","6,205","3,224"
"6,205","6,274","6,205","6,228","4,007"
"6,281","6,304","6,136","6,220","6,383"
"6,220","6,281","6,205","6,281","17,937"
"6,205","6,212","6,136","6,166","4,190"
"6,166","6,197","6,151","6,182","6,684"
"6,166","6,182","6,166","6,166","2,036"
"6,166","6,197","6,166","6,197","4,242"
"6,212","6,396","6,212","6,243","14,869"
"6,281","6,281","6,243","6,243","6,214"
"6,258","6,274","6,205","6,205","11,592"
"6,205","6,235","6,205","6,235","6,697"
"6,235","6,243","6,235","6,235","3,067"
"6,235","6,235","6,205","6,205","3,459"
"6,205","6,251","6,205","6,228","3,041"
"6,274","6,358","6,274","6,281","8,028"
"6,220","6,281","6,212","6,281","7,702"
"6,320","6,358","6,312","6,312","10,535"
"6,289","6,358","6,243","6,358","8,107"
"6,358","6,358","6,243","6,281","2,545"
"6,281","6,358","6,281","6,358","5,861"
"6,396","6,473","6,396","6,404","25,691"
"6,404","6,404","6,358","6,358","11,201"
"6,335","6,335","6,281","6,320","2,741"
"6,281","6,358","6,281","6,358","2,258"
"6,281","6,350","6,281","6,320","1,540"
"6,251","6,281","6,251","6,281","2,480"
"6,304","6,358","6,304","6,320","6,383"
"6,320","6,350","6,320","6,350","13,942"
"6,335","6,335","6,320","6,335","4,804"
"6,335","6,358","6,335","6,335","3,629"
"6,327","6,350","6,320","6,350","6,135"
"6,335","6,350","6,335","6,335","3,015"
"6,327","6,327","6,320","6,320","5,456"
"6,327","6,358","6,327","6,327","5,796"
"6,327","6,373","6,327","6,358","6,814"
"6,388","6,442","6,358","6,442","10,848"
"6,396","6,442","6,388","6,388","1,971"
"6,396","6,473","6,396","6,434","8,054"
"6,434","6,580","6,434","6,572","9,895"
"6,572","6,572","6,496","6,542","3,577"
"6,542","6,542","6,450","6,465","5,665"
"6,450","6,450","6,396","6,404","4,099"
"6,404","6,404","6,381","6,396","10,430"
"6,396","6,434","6,396","6,396","16,971"
"6,396","6,411","6,396","6,411","3,224"
"6,419","6,473","6,419","6,450","7,441"
"6,503","6,588","6,496","6,565","56,605"
"6,641","6,948","6,641","6,948","170,182"
"7,086","7,200","7,086","7,185","186,644"
"7,354","7,415","7,300","7,415","224,882"
"7,514","7,568","7,469","7,553","130,078"
"7,629","7,652","7,545","7,622","118,263"
"7,622","7,622","7,438","7,530","80,248"
"7,514","7,606","7,484","7,545","107,167"
"7,576","7,928","7,568","7,928","140,013"
"8,127","8,158","8,043","8,043","175,992"
"8,150","8,150","7,966","8,005","67,101"
"8,035","8,035","7,966","7,966","81,227"
"7,943","8,043","7,920","8,005","135,678"
"8,120","8,411","8,089","8,280","215,652"
"8,342","8,349","8,143","8,189","113,028"
"8,204","8,250","7,989","8,120","50,822"
"8,120","8,204","8,112","8,143","50,156"
"8,158","8,181","8,058","8,143","71,945"
"8,158","8,181","8,074","8,081","65,913"
"8,097","8,311","8,097","8,311","87,584"
